"","","","","Table ST-10  Estimation of Lot Percent Defective for Sample Size 10","","","","","","",""
"","Q1","0.00","0.01","0.02","0.03","0.04","0.05","0.06","0.07","0.08","0.09"
"","0.0","50.00","49.62","49.23","48.85","48.46","48.08","47.70","47.31","46.93","46.54"
"","0.1","46.16","45.78","45.40","45.01","44.63","44.25","43.87","43.49","43.11","42.73"
"","0.2","42.35","41.97","41.60","41.22","40.84","40.47","40.09","39.72","39.34","38.97"
"","0.3","38.60","38.23","37.86","37.49","37.12","36.75","36.38","36.02","35.65","35.29"
"","0.4","34.93","34.57","34.21","33.85","33.49","33.13","32.78","32.42","32.07","31.72"
"","0.5","31.37","31.02","30.67","30.32","29.98","29.64","29.29","28.95","28.61","28.28"
"","0.6","27.94","27.60","27.27","26.94","26.61","26.28","25.96","25.63","25.31","24.99"
"","0.7","24.67","24.35","24.03","23.72","23.41","23.10","22.79","22.48","22.18","21.87"
"","0.8","21.57","21.27","20.98","20.68","20.39","20.10","19.81","19.52","19.23","18.95"
"","0.9","18.67","18.39","18.11","17.84","17.56","17.29","17.03","16.76","16.49","16.23"
"","1.0","15.97","15.72","15.46","15.21","14.96","14.71","14.46","14.22","13.97","13.73"
"","1.1","13.50","13.26","13.03","12.80","12.57","12.34","12.12","11.90","11.68","11.46"
"","1.2","11.24","11.03","10.82","10.61","10.41","10.21","10.00","9.81","9.61","9.42"
"","1.3","9.22","9.03","8.85","8.66","8.48","8.30","8.12","7.95","7.77","7.60"
"","1.4","7.44","7.27","7.10","6.94","6.78","6.63","6.47","6.32","6.17","6.02"
"","1.5","5.87","5.73","5.59","5.45","5.31","5.18","5.05","4.92","4.79","4.66"
"","1.6","4.54","4.41","4.30","4.18","4.06","3.95","3.84","3.73","3.62","3.52"
"","1.7","3.41","3.31","3.21","3.11","3.02","2.93","2.83","2.74","2.66","2.57"
"","1.8","2.49","2.40","2.32","2.25","2.17","2.09","2.02","1.95","1.88","1.81"
"","1.9","1.75","1.68","1.62","1.56","1.50","1.44","1.38","1.33","1.27","1.22"
"","2.0","1.17","1.12","1.07","1.03","0.98","0.94","0.90","0.86","0.82","0.78"
"","2.1","0.74","0.71","0.67","0.64","0.61","0.58","0.55","0.52","0.49","0.46"
"","2.2","0.44","0.41","0.39","0.37","0.34","0.32","0.30","0.29","0.27","0.25"
"","2.3","0.23","0.22","0.20","0.19","0.18","0.16","0.15","0.14","0.13","0.12"
"","2.4","0.11","0.10","0.09","0.08","0.08","0.07","0.06","0.06","0.05","0.05"
"","2.5","0.04","0.04","0.03","0.03","0.03","0.02","0.02","0.02","0.01","0.01"
"","2.6","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00"
"1.","","Numbers in the body of the table are estimates of lot percent defective corresponding to specific values of “Q,” the Quality Index.","","","","","","","","",""
