"","","","","Table ST-8  Estimation of Lot Percent Defective for Sample Size 8","","","","","","",""
"","Q1","0.00","0.01","0.02","0.03","0.04","0.05","0.06","0.07","0.08","0.09"
"","0.0","50.00","49.62","49.24","48.86","48.49","48.11","47.73","47.35","46.97","46.59"
"","0.1","46.22","45.84","45.46","45.08","44.71","44.33","43.96","43.58","43.21","42.83"
"","0.2","42.46","42.08","41.71","41.34","40.97","40.59","40.22","39.85","39.48","39.11"
"","0.3","38.75","38.38","38.01","37.65","37.28","36.92","36.55","36.19","35.83","35.47"
"","0.4","35.11","34.75","34.39","34.04","33.68","33.33","32.97","32.62","32.27","31.92"
"","0.5","31.57","31.22","30.87","30.53","30.18","29.84","29.50","29.16","28.82","28.48"
"","0.6","28.15","27.81","27.48","27.15","26.82","26.49","26.16","25.83","25.51","25.19"
"","0.7","24.86","24.54","24.23","23.91","23.59","23.28","22.97","22.66","22.35","22.04"
"","0.8","21.74","21.44","21.14","20.84","20.54","20.24","19.95","19.66","19.37","19.08"
"","0.9","18.79","18.51","18.23","17.95","17.67","17.39","17.12","16.85","16.57","16.31"
"","1.0","16.04","15.78","15.51","15.25","15.00","14.74","14.49","14.24","13.99","13.74"
"","1.1","13.49","13.25","13.01","12.77","12.54","12.30","12.07","11.84","11.61","11.39"
"","1.2","11.17","10.94","10.73","10.51","10.30","10.09","9.88","9.67","9.47","9.26"
"","1.3","9.06","8.87","8.67","8.48","8.29","8.10","7.91","7.73","7.55","7.37"
"","1.4","7.19","7.02","6.85","6.68","6.51","6.35","6.19","6.03","5.87","5.71"
"","1.5","5.56","5.41","5.26","5.12","4.97","4.83","4.69","4.56","4.42","4.29"
"","1.6","4.16","4.03","3.91","3.79","3.67","3.55","3.43","3.32","3.21","3.10"
"","1.7","2.99","2.89","2.79","2.69","2.59","2.49","2.40","2.31","2.22","2.13"
"","1.8","2.04","1.96","1.88","1.80","1.72","1.65","1.58","1.51","1.44","1.37"
"","1.9","1.31","1.24","1.18","1.12","1.07","1.01","0.96","0.91","0.86","0.81"
"","2.0","0.76","0.72","0.67","0.63","0.59","0.55","0.52","0.48","0.45","0.42"
"","2.1","0.39","0.36","0.33","0.30","0.28","0.26","0.23","0.21","0.19","0.17"
"","2.2","0.16","0.14","0.13","0.11","0.10","0.09","0.08","0.07","0.06","0.05"
"","2.3","0.04","0.04","0.03","0.02","0.02","0.02","0.01","0.01","0.01","0.00"
"1.","","Numbers in the body of the table are estimates of lot percent defective corresponding to specific values of “Q,” the Quality Index.","","","","","","","","",""
