"","","","","Table ST-3  Estimation of Lot Percent Defective for Sample Size 3","","","","","","",""
"","Q1","0.00","0.01","0.02","0.03","0.04","0.05","0.06","0.07","0.08","0.09"
"","0.0","50.00","49.72","49.45","49.17","48.90","48.62","48.35","48.07","47.79","47.52"
"","0.1","47.24","46.96","46.69","46.41","46.13","45.85","45.58","45.30","45.02","44.74"
"","0.2","44.46","44.18","43.90","43.62","43.34","43.05","42.77","42.49","42.20","41.92"
"","0.3","41.63","41.35","41.06","40.77","40.49","40.20","39.91","39.62","39.33","39.03"
"","0.4","38.74","38.45","38.15","37.85","37.56","37.26","36.96","36.66","36.35","36.05"
"","0.5","35.75","35.44","35.13","34.82","34.51","34.20","33.88","33.57","33.25","32.93"
"","0.6","32.61","32.28","31.96","31.63","31.30","30.97","30.63","30.30","29.96","29.61"
"","0.7","29.27","28.92","28.57","28.22","27.86","27.50","27.13","26.76","26.39","26.02"
"","0.8","25.64","25.25","24.86","24.47","24.07","23.67","23.26","22.84","22.42","21.99"
"","0.9","21.55","21.11","20.66","20.19","19.73","19.25","18.75","18.25","17.74","17.21"
"","1.0","16.67","16.11","15.53","14.93","14.31","13.66","12.98","12.27","11.51","10.71"
"","1.1","9.84","8.89","7.82","6.60","5.08","2.87","0.00","0.00","0.00","0.00"
"1.","","Numbers in the body of the table are estimates of lot percent defective corresponding to specific values of “Q,” the Quality Index.","","","","","","","","",""
