"","","","","Table ST-5  Estimation of Lot Percent Defective for Sample Size 5","","","","","","",""
"","Q1","0.00","0.01","0.02","0.03","0.04","0.05","0.06","0.07","0.08","0.09"
"","0.0","50.00","49.64","49.29","48.93","48.58","48.22","47.86","47.51","47.15","46.80"
"","0.1","46.44","46.09","45.73","45.38","45.02","44.67","44.31","43.96","43.60","43.25"
"","0.2","42.90","42.54","42.19","41.84","41.48","41.13","40.78","40.43","40.08","39.72"
"","0.3","39.37","39.02","38.67","38.32","37.97","37.62","37.28","36.93","36.58","36.23"
"","0.4","35.88","35.54","35.19","34.85","34.50","34.16","33.81","33.47","33.12","32.78"
"","0.5","32.44","32.10","31.76","31.42","31.08","30.74","30.40","30.06","29.73","29.39"
"","0.6","29.05","28.72","28.39","28.05","27.72","27.39","27.06","26.73","26.40","26.07"
"","0.7","25.74","25.41","25.09","24.76","24.44","24.11","23.79","23.47","23.15","22.83"
"","0.8","22.51","22.19","21.87","21.56","21.24","20.93","20.62","20.31","20.00","19.69"
"","0.9","19.38","19.07","18.77","18.46","18.16","17.86","17.55","17.25","16.96","16.66"
"","1.0","16.36","16.07","15.78","15.48","15.19","14.91","14.62","14.33","14.05","13.76"
"","1.1","13.48","13.20","12.93","12.65","12.37","12.10","11.83","11.56","11.29","11.02"
"","1.2","10.76","10.50","10.23","9.97","9.72","9.46","9.21","8.96","8.71","8.46"
"","1.3","8.21","7.97","7.73","7.49","7.25","7.02","6.79","6.56","6.33","6.10"
"","1.4","5.88","5.66","5.44","5.23","5.02","4.81","4.60","4.39","4.19","3.99"
"","1.5","3.80","3.61","3.42","3.23","3.05","2.87","2.69","2.52","2.35","2.19"
"","1.6","2.03","1.87","1.72","1.57","1.42","1.28","1.15","1.02","0.89","0.77"
"","1.7","0.66","0.55","0.45","0.36","0.27","0.19","0.12","0.06","0.02","0.00"
"1.","","Numbers in the body of the table are estimates of lot percent defective corresponding to specific values of “Q,” the Quality Index.","","","","","","","","",""
