"","","","","Table ST-6  Estimation of Lot Percent Defective for Sample Size 6","","","","","","",""
"","Q1","0.00","0.01","0.02","0.03","0.04","0.05","0.06","0.07","0.08","0.09"
"","0.0","50.00","49.63","49.27","48.90","48.53","48.16","47.80","47.43","47.06","46.70"
"","0.1","46.33","45.96","45.60","45.23","44.86","44.50","44.13","43.77","43.40","43.04"
"","0.2","42.68","42.31","41.95","41.59","41.22","40.86","40.50","40.14","39.78","39.42"
"","0.3","39.06","38.70","38.34","37.98","37.62","37.27","36.91","36.55","36.20","35.84"
"","0.4","35.49","35.14","34.79","34.43","34.08","33.73","33.38","33.04","32.69","32.34"
"","0.5","32.00","31.65","31.31","30.96","30.62","30.28","29.94","29.60","29.26","28.93"
"","0.6","28.59","28.25","27.92","27.59","27.26","26.92","26.60","26.27","25.94","25.61"
"","0.7","25.29","24.96","24.64","24.32","24.00","23.68","23.37","23.05","22.74","22.42"
"","0.8","22.11","21.80","21.49","21.18","20.88","20.57","20.27","19.97","19.67","19.37"
"","0.9","19.07","18.78","18.49","18.19","17.90","17.61","17.33","17.04","16.76","16.48"
"","1.0","16.20","15.92","15.64","15.37","15.09","14.82","14.55","14.29","14.02","13.76"
"","1.1","13.50","13.24","12.98","12.72","12.47","12.22","11.97","11.72","11.47","11.23"
"","1.2","10.99","10.75","10.51","10.28","10.04","9.81","9.58","9.36","9.13","8.91"
"","1.3","8.69","8.48","8.26","8.05","7.84","7.63","7.42","7.22","7.02","6.82"
"","1.4","6.63","6.43","6.24","6.05","5.87","5.68","5.50","5.33","5.15","4.98"
"","1.5","4.81","4.64","4.47","4.31","4.15","4.00","3.84","3.69","3.54","3.40"
"","1.6","3.25","3.11","2.97","2.84","2.71","2.58","2.45","2.33","2.21","2.09"
"","1.7","1.98","1.87","1.76","1.66","1.55","1.45","1.36","1.27","1.18","1.09"
"","1.8","1.01","0.93","0.85","0.78","0.71","0.64","0.57","0.51","0.46","0.40"
"","1.9","0.35","0.30","0.26","0.22","0.18","0.15","0.12","0.09","0.07","0.05"
"","2.0","0.03","0.02","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1.","","Numbers in the body of the table are estimates of lot percent defective corresponding to specific values of “Q,” the Quality Index.","","","","","","","","",""
