"","","","","Table ST-9  Estimation of Lot Percent Defective for Sample Size 9","","","","","","",""
"","Q1","0.00","0.01","0.02","0.03","0.04","0.05","0.06","0.07","0.08","0.09"
"","0.0","50.00","49.62","49.24","48.85","48.47","48.09","47.71","47.33","46.95","46.57"
"","0.1","46.18","45.80","45.42","45.04","44.66","44.29","43.91","43.53","43.15","42.77"
"","0.2","42.40","42.02","41.64","41.27","40.89","40.52","40.15","39.77","39.40","39.03"
"","0.3","38.66","38.29","37.92","37.55","37.19","36.82","36.46","36.09","35.73","35.37"
"","0.4","35.00","34.64","34.29","33.93","33.57","33.21","32.86","32.51","32.15","31.80"
"","0.5","31.45","31.10","30.76","30.41","30.07","29.72","29.38","29.04","28.70","28.36"
"","0.6","28.03","27.69","27.36","27.03","26.70","26.37","26.04","25.72","25.39","25.07"
"","0.7","24.75","24.43","24.11","23.80","23.49","23.17","22.86","22.56","22.25","21.94"
"","0.8","21.64","21.34","21.04","20.75","20.45","20.16","19.87","19.58","19.29","19.00"
"","0.9","18.72","18.44","18.16","17.88","17.61","17.33","17.06","16.79","16.53","16.26"
"","1.0","16.00","15.74","15.48","15.23","14.97","14.72","14.47","14.22","13.98","13.73"
"","1.1","13.49","13.26","13.02","12.79","12.55","12.32","12.10","11.87","11.65","11.43"
"","1.2","11.21","10.99","10.78","10.57","10.36","10.15","9.95","9.75","9.55","9.35"
"","1.3","9.16","8.96","8.77","8.59","8.40","8.22","8.04","7.86","7.68","7.51"
"","1.4","7.33","7.17","7.00","6.83","6.67","6.51","6.35","6.20","6.04","5.89"
"","1.5","5.74","5.60","5.45","5.31","5.17","5.03","4.90","4.77","4.64","4.51"
"","1.6","4.38","4.26","4.14","4.02","3.90","3.78","3.67","3.56","3.45","3.34"
"","1.7","3.24","3.14","3.03","2.94","2.84","2.75","2.65","2.56","2.47","2.39"
"","1.8","2.30","2.22","2.14","2.06","1.98","1.91","1.84","1.76","1.70","1.63"
"","1.9","1.56","1.50","1.44","1.37","1.32","1.26","1.20","1.15","1.10","1.05"
"","2.0","1.00","0.95","0.90","0.86","0.82","0.77","0.73","0.70","0.66","0.62"
"","2.1","0.59","0.55","0.52","0.49","0.46","0.43","0.41","0.38","0.36","0.33"
"","2.2","0.31","0.29","0.27","0.25","0.23","0.21","0.20","0.18","0.17","0.15"
"","2.3","0.14","0.13","0.11","0.10","0.09","0.08","0.08","0.07","0.06","0.05"
"","2.4","0.05","0.04","0.04","0.03","0.03","0.02","0.02","0.02","0.01","0.01"
"","2.5","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1.","","Numbers in the body of the table are estimates of lot percent defective corresponding to specific values of “Q,” the Quality Index.","","","","","","","","",""
